gross,genres,month,year,imdb_score
114053579,Family,11,2008,6.9
119420252,Action,7,2009,5.1
119420252,Adventure,7,2009,5.1
119420252,Animation,7,2009,5.1
119420252,Comedy,7,2009,5.1
119420252,Family,7,2009,5.1
119420252,Fantasy,7,2009,5.1
119420252,Sci-Fi,7,2009,5.1
83640426,Action,3,2012,5.8
83640426,Adventure,3,2012,5.8
83640426,Fantasy,3,2012,5.8
79711678,Comedy,5,2012,6.2
79711678,Fantasy,5,2012,6.2
79711678,Horror,5,2012,6.2
195000874,Action,7,2015,7.4
195000874,Adventure,7,2015,7.4
195000874,Thriller,7,2015,7.4
61937495,Drama,1,2010,5.8
61937495,Fantasy,1,2010,5.8
61937495,Horror,1,2010,5.8
61937495,Thriller,1,2010,5.8
124051759,Action,6,2016,6.6
124051759,Action,6,2016,6.6
124051759,Adventure,6,2016,6.6
124051759,Adventure,6,2016,6.6
124051759,Drama,6,2016,6.6
124051759,Drama,6,2016,6.6
124051759,Romance,6,2016,6.6
124051759,Romance,6,2016,6.6
126597121,Adventure,10,2007,6.2
126597121,Animation,10,2007,6.2
126597121,Comedy,10,2007,6.2
126597121,Family,10,2007,6.2
165230261,Action,5,2011,7.3
165230261,Adventure,5,2011,7.3
165230261,Animation,5,2011,7.3
165230261,Comedy,5,2011,7.3
165230261,Family,5,2011,7.3
131564731,Action,6,2010,4.2
131564731,Adventure,6,2010,4.2
131564731,Family,6,2010,4.2
131564731,Fantasy,6,2010,4.2
133382309,Action,4,2006,6.9
133382309,Adventure,4,2006,6.9
133382309,Thriller,4,2006,6.9
73103784,Action,6,2013,6.4
73103784,Drama,6,2013,6.4
73103784,Thriller,6,2013,6.4
21379315,Action,3,2011,5.4
21379315,Adventure,3,2011,5.4
21379315,Animation,3,2011,5.4
21379315,Comedy,3,2011,5.4
21379315,Family,3,2011,5.4
21379315,Sci-Fi,3,2011,5.4
64459316,Adventure,10,2006,6.7
64459316,Animation,10,2006,6.7
64459316,Comedy,10,2006,6.7
64459316,Family,10,2006,6.7
34964818,Adventure,9,2015,5.8
